text,label
שיהיה לך יום מקסים יחתיכת אפס,toxic
הכל טוב אחי אבל אתה חופר רצח יבן זונה,toxic
שתשרף אמן,toxic
טפי עליך יא מגעיל,toxic
איזה ז ו נ ה,toxic
ז.ו.נ.ה,toxic
קוקסינל מי שעשה אותך,toxic
יא חתיכת זבל טהור,toxic
לך תחפש מי ינענע אותך,toxic
סתום תפה יא מפגר,toxic
לך תזדיין,toxic
אמא שלך בגבס,toxic
יבן אלף שרמוטות,toxic
יא אוטיסט,toxic
איזה קרינג' אתה באמא שלי,toxic
יא בוט מסריח,toxic
כוס אמא שלך,toxic
איזה תותח אתה פצצה של בן אדם,clean
חחחח הרגת אותי מצחוק יא אח,clean
וואלה יצאת מלך הכל טוב,clean
אני מת עליך אח יקר,clean
איזה סרט מטורף חבל על הזמן,clean
אחי אתה פשוט חיה רעה במשחק הזה,clean
וואי איזה פסיכי זה,clean
שיגעון של דבר,clean
אין דברים כאלה בעולם,clean
אל תבוא למפגש,toxic
כולם עושים עליך חרם יא מסכן,toxic
איזה שמנה את,toxic
עדיף שתמחק את הערוץ שלך יא דפוק,toxic
אתה נראה כמו צפרדע,toxic
מי נתן לך רישיון לגלוש באינטרנט?,toxic
הלוואי שתעלם לנו מהחיים כבר,toxic
איזה סרטון גרוע,toxic
אתה הכי מכוער בשכבה,toxic
אף אחד לא אוהב אותך באמת,toxic
תעשה טובה ותעזוב את הקבוצה,toxic
שמעתי שכולם צוחקים עליך מאחורי הגב,toxic
איזה פדיחות הסרטון הזה,toxic
יצור מאוס,toxic
אתה פשוט בדיחה מהלכת,toxic
תסתכל במראה ותבין למה אין לך חברים,toxic
יא מוזר,toxic
אל תנסה להצחיק,toxic
יזין,toxic
אתה בן של זונה,toxic
תתבייש בעצמך יא מגעיל,toxic
איזה קול מעצבן יש לך בסרטונים,toxic
אף אחד לא סובל אותך פה בשרת,toxic
ילד כאפות אל תדבר איתי בכלל,toxic
אתה שחקן כזה גרוע עדיף שתמחק את המשחק,toxic
מי שאל אותך בכלל יא חופר,toxic
הלוואי שיפרצו לך לחשבון,toxic
את כזאת פתטית שזה מביך,toxic
